No.;Time;Comment;Scramble;Date;P.1
1;14.69;;D2 B2 L2 R B2 D2 R' D2 R U2 L U B L' F2 U B' U2 F' R B';2020-06-11 12:27:59;14.69
2;22.94;;L2 U D L D B R U2 F D2 F2 D2 L2 U2 F' R2 F L2 U F2;2020-06-11 12:28:36;22.94
3;22.88;;L D' L' B' R' B' R' B' D F R2 F U2 D2 F U2 B2 U2 F U2;2020-06-11 12:29:45;22.88
4;19.27;;B2 R2 U2 F L2 F' D2 R2 B' D2 F' L2 U' F' L' B R B D' R' B2;2020-06-11 12:30:31;19.27
5;19.64;;D B2 D2 B2 L F2 B2 U' L' F' R2 L2 F U2 F B U2 R2 B2;2020-06-11 12:31:28;19.64
6;22.35;;U' L2 B' D2 F L2 F' U2 B2 D2 L2 F R2 D' R D B' D U L' F';2020-06-11 12:32:14;22.35
7;22.57;;R B' L B2 U2 F R2 U' L F2 B2 R2 U2 B2 L U2 D2 L2 D;2020-06-11 12:36:12;22.57
8;21.91;;R L U D B L F' D2 R B2 R D2 L U2 F2 L' D2 F2;2020-06-11 12:38:16;21.91
9;19.09;;R2 U' R2 D' L2 D B2 R2 U' R2 U' L2 R D' L F R' D U' B F;2020-06-11 12:39:03;19.09
10;17.94;;L B U' L2 D B2 R2 U' L2 R2 D B2 R D2 B' R' D2 F U2 B2;2020-06-11 12:39:44;17.94
11;22.06;;D L' F2 L2 U2 L2 U2 R2 F D2 L2 B D2 R B2 L U2 B D L';2020-06-11 12:40:47;22.06
12;19.41;;D B2 R D L F' L2 B' D2 R2 F U2 D2 F R2 U;2020-06-11 12:41:33;19.41
13;17.14;;D2 R' U' L2 B2 D' U' L2 B2 U R2 F2 D' F' D L' B2 F' U2 R2 B2;2020-06-11 12:42:27;17.14
14;22.15;;L' D' R' B R2 F2 D' F D' F2 D2 R2 U B2 U R2 L2 F2 U;2020-06-11 12:43:06;22.15
15;19.86;;U F R2 L B R' B D' B F2 U D2 F2 R2 D2 F2 L2 F2 U;2020-06-11 12:43:46;19.86
16;21.30;;R D B D2 F L2 F' D2 L2 B' D2 F2 D' B' F R2 F R' U';2020-06-11 12:44:48;21.30
17;24.96;;U R D' F' L B' L R2 D B2 U' D2 R2 F2 B2 D2 L2 F2 U' R D2;2020-06-11 12:45:48;24.96
18;22.72;;U B2 U' L2 U L2 D R2 D' U' F2 L2 F' U R' F2 D' F' L' U' B2;2020-06-11 12:46:29;22.72
19;20.69;;B D' R B R L' F' U B D2 B2 L' B2 R L2 F2 U2 D2 F2;2020-06-11 12:47:15;20.69
20;23.35;;B L2 B2 L2 U B2 F2 L2 D2 U' R2 D2 B2 R' U2 B U2 R F' R D';2020-06-11 12:48:04;23.35
21;22.31;;B2 R' L' D2 B2 R B' U2 L2 U' B2 U2 L2 F2 L2 D2 L2 U2 F L';2020-06-11 12:49:15;22.31
22;20.91;;D2 R2 D2 U R2 F2 D L2 B2 U L B' L2 B2 R2 U F' L' B2 L;2020-06-11 12:50:15;20.91
23;19.69;;U D2 L D2 L U2 F2 L U2 R' F2 R B R2 B L2 D F' L R';2020-06-11 12:51:01;19.69
24;16.64;;F2 D' R' F' L2 U2 D' B' L2 F' U2 B D2 B' D2 R2 U2 R B;2020-06-11 12:52:43;16.64
25;20.83;;L2 U L2 F2 L2 F2 U R2 D' U' B L D F' L D' U L' B2;2020-06-11 12:53:39;20.83